,name,author,num_page,language,user_rating,rating_num,reviews,genre_1,genre_2,genre_3,year,publisher
0,The Hunger Games,Suzanne Collins,374,English,4.33,7999679,198171,Young Adult,Fiction,Dystopia,2008,Scholastic Press
1,Harry Potter and the Order of the Phoenix,J.K. Rowling,912,English,4.5,3160046,57494,Fantasy,Young Adult,Fiction,2003,Scholastic Inc.
2,Pride and Prejudice,Jane Austen,279,English,4.28,3961700,101281,Classics,Fiction,Romance,1813,Modern Library
3,To Kill a Mockingbird,Harper Lee,323,English,4.27,5714197,110728,Classics,Fiction,Historical Fiction,1960,Harper Perennial Modern Classics 
4,The Book Thief,Markus Zusak,552,English,4.39,2375178,136571,Historical Fiction,Fiction,Young Adult,2006,Alfred A. Knopf
5,Twilight,Stephenie Meyer,498,English,3.64,6179154,122602,Fantasy,Young Adult,Romance,2005,"Little, Brown and Company"
6,Animal Farm,George Orwell,128,English,3.98,3592602,84989,Classics,Fiction,Dystopia,1945,Signet Classics
7,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,English,4.61,127700,2139,Fantasy,Fiction,Classics,1955,Ballantine Books
8,The Chronicles of Narnia,C.S. Lewis,767,English,4.27,618931,11987,Fantasy,Classics,Young Adult,1956,HarperCollins
9,The Fault in Our Stars,John Green,313,English,4.15,4783849,173339,Young Adult,Romance,Fiction,2012,Dutton Books
10,Gone with the Wind,Margaret Mitchell,1037,English,4.3,1180686,23147,Classics,Historical Fiction,Fiction,1936,Warner Books
11,The Giving Tree,Shel Silverstein,64,English,4.38,1070241,21136,Childrens,Fiction,Picture Books,1964,HarperCollins Publishers
12,The Picture of Dorian Gray,Oscar Wilde,272,English,4.12,1379852,58055,Classics,Fiction,Horror,1890,Random House: Modern Library
13,Wuthering Heights,Emily Brontë,464,English,3.88,1690332,54695,Classics,Fiction,Romance,1847,Norton
14,Harry Potter and the Philosopher’s Stone,J.K. Rowling,223,English,4.47,9316463,148023,Fantasy,Fiction,Young Adult,1997,Bloomsbury Publishing
15,The Perks of Being a Wallflower,Stephen Chbosky,213,English,4.22,1666747,81931,Young Adult,Fiction,Contemporary,1999,MTV Books/Pocket Books
16,Jane Eyre,Charlotte Brontë,532,English,4.14,1982690,58309,Classics,Fiction,Romance,1847,Penguin
17,The Da Vinci Code,Dan Brown,489,English,3.9,2254783,52745,Fiction,Mystery,Thriller,2003,Anchor
18,The Great Gatsby,F. Scott Fitzgerald,180,English,3.93,4861062,94872,Classics,Fiction,School,1925,Scribner
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,239,English,4.06,538345,14218,Classics,Fantasy,Fiction,1871,Penguin Group (USA)
20,The Little Prince,Antoine de Saint-Exupéry,96,English,4.32,1934422,60518,Classics,Fiction,Fantasy,1943,"Harcourt, Inc."
21,Memoirs of a Geisha,Arthur Golden,503,English,4.14,1933722,34421,Fiction,Historical Fiction,Romance,1997,Vintage Books USA
22,The Lightning Thief,Rick Riordan,377,English,4.29,2708588,85612,Fantasy,Young Adult,Mythology,2005,Disney Hyperion Books
23,Divergent,Veronica Roth,487,English,4.15,3721045,117100,Young Adult,Dystopia,Fantasy,2011,Katherine Tegen Books
24,Les Misérables,Victor Hugo,1463,English,4.2,771355,21477,Classics,Fiction,Historical Fiction,1862,Penguin
25,Crime and Punishment,Fyodor Dostoevsky,671,English,4.26,825369,30890,Classics,Fiction,Russia,1866,Penguin
26,Lord of the Flies,William Golding,182,English,3.69,2748907,50894,Classics,Fiction,Young Adult,1954,Penguin Books 
27,Romeo and Juliet,William Shakespeare,281,English,3.74,2477443,28104,Classics,Plays,Fiction,1597,Washington Square Press
