,Unnamed: 0.1,Unnamed: 0,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,Genre_2,Genre_3,Year,Publisher,book_url
0,0.0,0.0,The Hunger Games,Suzanne Collins,374,English,4.33,"7,999,679","198,171",Young Adult,Fiction,Dystopia,2008.0,Scholastic Press,https://www.goodreads.com//book/show/2767052-the-hunger-games
1,1.0,1.0,Harry Potter and the Order of the Phoenix,J.K. Rowling,912,English,4.5,"3,160,046","57,494",Fantasy,Young Adult,Fiction,2003.0,Scholastic Inc.,https://www.goodreads.com//book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
2,2.0,2.0,Pride and Prejudice,Jane Austen,279,English,4.28,"3,961,700","101,281",Classics,Fiction,Romance,1813.0,Modern Library,https://www.goodreads.com//book/show/1885.Pride_and_Prejudice
3,3.0,3.0,To Kill a Mockingbird,Harper Lee,323,English,4.27,"5,714,197","110,728",Classics,Fiction,Historical Fiction,1960.0,Harper Perennial Modern Classics ,https://www.goodreads.com//book/show/2657.To_Kill_a_Mockingbird
4,4.0,4.0,The Book Thief,Markus Zusak,552,English,4.39,"2,375,178","136,571",Historical Fiction,Fiction,Young Adult,2006.0,Alfred A. Knopf,https://www.goodreads.com//book/show/19063.The_Book_Thief
5,5.0,5.0,Twilight,Stephenie Meyer,498,English,3.64,"6,179,154","122,602",Fantasy,Young Adult,Romance,2005.0,"Little, Brown and Company",https://www.goodreads.com//book/show/41865.Twilight
6,6.0,6.0,Animal Farm,George Orwell,128,English,3.98,"3,592,602","84,989",Classics,Fiction,Dystopia,1945.0,Signet Classics,https://www.goodreads.com//book/show/170448.Animal_Farm
7,7.0,7.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,English,4.61,"127,700","2,139",Fantasy,Fiction,Classics,1955.0,Ballantine Books,https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
8,8.0,8.0,The Chronicles of Narnia,C.S. Lewis,767,English,4.27,"618,931","11,987",Fantasy,Classics,Young Adult,1956.0,HarperCollins,https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia
9,9.0,9.0,The Fault in Our Stars,John Green,313,English,4.15,"4,783,849","173,339",Young Adult,Romance,Fiction,2012.0,Dutton Books,https://www.goodreads.com//book/show/11870085-the-fault-in-our-stars
